                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8339,                 5.1842,                 1.6551,                0.00482,                0.14381,                0.11467,                0.06925,                 2.0646,                 5.0732,                 1.3656,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 2.7819,                 4.9766,                 1.6624,                 0.1437,                0.13043,                0.11681,                0.07082,                 1.9675,                 4.8204,                 1.3252,             3.0941e-05,             3.0941e-05,             3.0941e-05
                      3,                 2.8766,                 4.8928,                 1.7125,                0.43914,                0.13043,                0.12424,                0.07657,                 1.9543,                 4.4273,                 1.2795,              4.901e-05,              4.901e-05,              4.901e-05
                      4,                 2.4187,                 4.1863,                 1.4646,                0.57671,                0.13297,                 0.1334,                0.08155,                 1.9293,                 3.9429,                 1.2352,             6.6708e-05,             6.6708e-05,             6.6708e-05
                      5,                 2.3849,                 3.8711,                 1.4358,                0.41567,                0.16743,                0.10028,                 0.0584,                 2.0496,                 3.9659,                 1.2399,             8.4035e-05,             8.4035e-05,             8.4035e-05
                      6,                 2.1877,                 3.3934,                  1.363,                0.03747,                0.25522,                0.08042,                0.04176,                 2.1607,                 5.5252,                 1.2423,             0.00010099,             0.00010099,             0.00010099
                      7,                 2.2029,                  3.308,                 1.3731,                0.62065,                0.04856,                0.08338,                0.03955,                 2.2489,                 6.9797,                 1.2627,             0.00011757,             0.00011757,             0.00011757
                      8,                 2.1393,                 3.2255,                 1.3429,                0.13883,                0.21784,                 0.0943,                0.04466,                 2.2355,                 7.2286,                 1.2509,             0.00013379,             0.00013379,             0.00013379
                      9,                 2.0198,                 2.7921,                 1.3024,                0.66018,                0.06201,                0.12375,                0.07166,                 2.1629,                 7.9304,                 1.2083,             0.00014963,             0.00014963,             0.00014963
                     10,                 1.8282,                  2.546,                 1.1611,                0.38843,                0.24932,                0.11461,                 0.0627,                 2.0951,                 7.4545,                 1.1998,              0.0001651,              0.0001651,              0.0001651
                     11,                 2.0177,                 2.6972,                  1.282,                0.40206,                0.29099,                0.13233,                0.07021,                 1.8396,                 4.0519,                 1.1305,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.9454,                 2.3051,                 1.2454,                0.41937,                0.24547,                0.14156,                0.08251,                 1.8192,                  3.254,                 1.1432,             0.00019493,             0.00019493,             0.00019493
                     13,                 1.8841,                 2.1607,                 1.1437,                0.55441,                0.22711,                0.15483,                0.09043,                  1.867,                 2.9572,                 1.1857,             0.00020928,             0.00020928,             0.00020928
                     14,                 2.0651,                 2.4442,                 1.2936,                0.44718,                0.30409,                0.16111,                0.09222,                 1.9151,                  2.862,                 1.1926,             0.00022327,             0.00022327,             0.00022327
